title = "elemental data"
variables = "time (yr)", "temp (deg. c)","qx(m/yr)","qz(m/yr)","x(m)","z(m)","mat","head(m)"
text  x=50.0,y=50.0,t="element # 12831 "
zone f="point",i=  3000
   1890.00000000000  22.5507410238049 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1900.00000000000  22.5409001353272 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1910.00000000000  22.5310875091325 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1920.00000000000  22.5213031633431 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1930.00000000000  22.5115471121884 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1940.00000000000  22.5018193661210 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1950.00000000000  22.4921199319311 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1960.00000000000  22.4824488128570 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1970.00000000000  22.4728060086929 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1980.00000000000  22.4631915158939 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1990.00000000000  22.4536053276786 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   2000.00000000000  22.4440474341284 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   2010.00000000000  22.4345178222842 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   2020.00000000000  22.4250164762415 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   2030.00000000000  22.4155433772414 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   2040.00000000000  22.4060985037610 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   2050.00000000000  22.3966818315994 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   2060.00000000000  22.3872933339637 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   2070.00000000000  22.3779329815505 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
